Date, Close/Last, Volume, Open, High, Low
01/29/2021, $12.75, 33745860, $12.53, $13.5, $11.91
01/28/2021, $10.95, 20209360, $12.534, $13.39, $10.91
01/27/2021, $12.5, 49863880, $10.5, $13.68, $10.38
01/26/2021, $10.58, 17794200, $9.8, $10.68, $9.5
01/25/2021, $9.72, 19379260, $9, $9.7799, $8.925
01/22/2021, $9, 13490110, $9, $9.3, $8.81
01/21/2021, $9.1, 22007650, $9.01, $9.42, $8.8
01/20/2021, $9.72, 7967688, $10.13, $10.2799, $9.67
01/19/2021, $10.1, 9626563, $9.85, $10.19, $9.51
01/15/2021, $9.66, 19984460, $9.34, $10.57, $9.3
01/14/2021, $9.37, 5409962, $9.258, $9.47, $9.185
01/13/2021, $9.225, 7116527, $9.06, $9.4, $8.97
01/12/2021, $9.1, 5347783, $8.98, $9.18, $8.8299
01/11/2021, $9.085, 7000605, $9.02, $9.13, $8.85
01/08/2021, $9.22, 7748766, $9.35, $9.46, $9.01
01/07/2021, $9.44, 8355154, $9.43, $9.52, $9.19
01/06/2021, $9.34, 8307007, $9.23, $9.62, $9.17
01/05/2021, $9.26, 10213240, $9.838, $9.89, $9.2
01/04/2021, $9.73, 15563820, $9.05, $9.82, $8.81
12/31/2020, $8.85, 10945290, $8.85, $9.33, $8.71
