Date, Close/Last, Volume, Open, High, Low
01/29/2021, $173.16, 39687300, $174.99, $185.98, $166.2001
01/28/2021, $159.55, 16497370, $154.105, $168, $153.62
01/27/2021, $155.73, 20262920, $151.2, $164.55, $149
01/26/2021, $151.93, 16964730, $145.15, $154.55, $145
01/25/2021, $147, 26970870, $138.4, $147.4299, $137.25
01/22/2021, $131.02, 10067190, $132.5, $135.87, $128.9
01/21/2021, $132.98, 20880840, $125.28, $137, $125.25
01/20/2021, $125.14, 8001568, $124.51, $126.0101, $122.25
01/19/2021, $125.01, 16528900, $122.1, $126.36, $120.5
01/15/2021, $129.65, 15769540, $129.6, $133.29, $126.58
01/14/2021, $129.72, 13346730, $122.8, $130.98, $122.8
01/13/2021, $124.06, 14324640, $123.7, $127.58, $120.74
01/12/2021, $124.55, 15300720, $117.93, $124.91, $117.12
01/11/2021, $117.26, 16650650, $112.75, $121.24, $112.62
01/08/2021, $112.75, 12376940, $116.52, $117.71, $111.49
01/07/2021, $115.09, 20614070, $120.1, $122.82, $112.13
01/06/2021, $116.26, 21590930, $111.11, $116.93, $110.28
01/05/2021, $109.18, 15450800, $113.82, $114.98, $107.2
01/04/2021, $111.73, 22439550, $107.23, $113.63, $103.26
12/31/2020, $104.47, 23369870, $110.55, $113.55, $102.66
